Idioma,Age:,Education:,Country,Do you have experience or work with GIS (Geographic Information System)?,What is your level of fluency in English:,"Active mappers are those who make changes to the platform at least 42 days a year. Do you consider yourself an active mapper? (If you have any questions, you can check at https://hdyc.neis-one.org/).",How long have you been involved in the OSM community?,How often do you visit and use OSM.org?,How did you learn about OpenStreetMap:,What do you use OSM data for?,What is your main involvement with OpenStreetMap?,I use OSM.org...,How often do you use GPS navigation apps?,Which of these definitions do you think best describes OSM?,How often do you write a note in OSM?,How often do you use notes to map or close them in OSM?,Do you use tools to export OSM data?,How often do you use export tools?,Which of these GPS navigation apps do you use most in your day-to-day life?,What formats do you usually download map data in:,Which of these export tools do you use most often?,General,Search (Nominatim),Historic and Changeset,Login,Notes,Profile,Messages,Diary,Settings,Navigation and routing in OSM.org,Help tab,About tab,Export directly in OSM.org,Carto (Default view),GPS Tracks,Search results (Nominatim):,Viewing the search results:,History:,Visualization of the Changest:,Navigating the OpenStreetMap website:,Tags:,Get information about POIs (Point of Interest):,Communication and finding the mappers on the website:,Corporate and bot profiles should be easy to recognize:,would like to see statistics on my profile and other users:,"Other open address data sources (e.g., OpenAddress) could be integrated into the search bar."
English (United Kingdom)‎,65 years old or older,Master's Degree,Russia,I have little or no experience with GIS,Basic,No,More than 10 years,1 time a week,YouthMappers,I use it for navigation/GPS,Hobbyist/community;YouthMappers,To see the rendered data;To check the history of edits and comments,2 times per week,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,I can't remember or I don't use it,OSMAnd;Google Maps,.OSM / .PBF;PDF;JPG / PNG,Directly in OSM.org;Overpass Turbo;BBBike,3,2,1,3,,1,1,1,1,3,,1,1,,3,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
English (United Kingdom)‎,Under 18 years old,High School,Indonesia,I have little or no experience with GIS,Basic,Yes,1 to 5 years,More than once a day,Application that uses OSM data,I use it for navigation/GPS,Government,To edit;To see the rendered data;To check the history of edits and comments,I can't remember or I don't use it,Geographic database,I can't remember or I don't use it,More than once a day,No,,Google Maps,,,4,5,4,5,2,,,1,5,3,4,4,1,5,4,Imprecise,Clear,Very clear,Very Clear,Simple,Neutral - Neither complicated nor simple,Very Simple,Neutral - Neither complicated nor simple,Strongly agree,Neither agree nor disagree,Strongly agree
English (United Kingdom)‎,25-34 years old,Doctorate/PhD,United States,I have no experience with GIS or work,Advanced,Yes,Less than 1 year,2 times per week,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To check the history of edits and comments;To upload GPS traces;To edit,1 time a week,Geographic database,1 time a month,1 time a month,No,,Google Maps;Organic Maps;OSMAnd,,,3,2,4,5,4,4,4,5,5,3,4,4,5,2,3,Very imprecise,Confusing,Clear,Confusing,Complicated,Complicated,Complicated,Neutral - Neither complicated nor simple,More or less agree,More or less agree,More or less agree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,United States,Working with GIS,Native,Yes,5 to 10 years,1 time per day,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS;I use it for work,Hobbyist/community,To check the history of edits and comments;Add and edit Notes;To see the rendered data,2 times per week,Collaborative map,1 time a month,I can't remember or I don't use it,No,,Google Maps;OSMAnd,,,3,1,2,3,3,3,1,3,4,3,2,2,1,2,2,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Very confusing,Very Simple,Neutral - Neither complicated nor simple,Complicated,Simple,Strongly agree,More or less agree,Strongly agree
Português (Brasil)‎,18-24 years old,Undergraduate or Bachelor's degree,Brazil,I am a GIS student,Basic,No,1 to 5 years,1 time per day,Web Search,I use it for navigation/GPS;I use it for work;I use it academically (school or college),Humanitarian;Hobbyist/community,To see the rendered data;To edit;Add and edit Notes,2 times per week,Collaborative map,1 time per day,1 time a week,Yes,1 time a month,Organic Maps,Shapefile,Directly in OSM.org,5,2,4,5,4,4,3,3,4,4,3,3,4,4,3,Imprecise,Confusing,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Very Simple,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,More or less agree,More or less disagree,More or less agree
"Español (España, alfabetización internacional)",18-24 years old,High School,Peru,I have no experience with GIS or work,Advanced,Yes,1 to 5 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS;I use it academically (school or college),Hobbyist/community,To edit,1 time a month,Wikipedia of maps,I can't remember or I don't use it,I can't remember or I don't use it,No,,OSMAnd,,,5,5,5,2,4,4,2,2,3,1,3,3,2,5,4,Neutral - Neither imprecise nor precise,Very confusing,Very confusing,Very confusing,Very Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Very complicated,Strongly agree,Strongly agree,Strongly agree
Français (France),25-34 years old,Master's Degree,France,Working with GIS,Advanced,Yes,5 to 10 years,1 time a week,Event or speech,I use it for navigation/GPS;I use it for work,Corporate (work);Hobbyist/community;Dev,To check the history of edits and comments;To edit,1 time a week,Wikipedia of maps,1 time a month,1 time a month,Yes,1 time a month,Organic Maps,.OSM / .PBF;GeoJSON / JSON / XML,GeoFabrik;Overpass Turbo,4,3,5,5,4,3,3,2,2,3,2,2,3,4,3,Neutral - Neither imprecise nor precise,Clear,Clear,Clear,Neutral - Neither complicated nor simple,Simple,Neutral - Neither complicated nor simple,Complicated,Strongly agree,More or less agree,More or less disagree
English (United Kingdom)‎,25-34 years old,Master's Degree,Indonesia,Working with GIS,Advanced,Yes,5 to 10 years,2 times per week,Work,I use it for work;I use it academically (school or college);I use it for navigation/GPS,Humanitarian;Government,To edit;Read diary entries;To check the history of edits and comments,1 time a month,Collaborative map,1 time a month,1 time a month,Yes,1 time a month,OSMAnd;Google Maps;Organic Maps,Shapefile;GeoJSON / JSON / XML,GeoFabrik;Overpass Turbo;HOT Export Tool,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,Neutral - Neither imprecise nor precise,Clear,Very clear,Very Clear,Very Simple,Very Simple,Very Simple,Very Simple,Strongly agree,More or less disagree,Strongly agree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,Italy,I am a GIS student,Advanced,Yes,More than 10 years,I can't remember or I don't use it,Web Search,I use it for work,Hobbyist/community,To see the rendered data,1 time per day,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps,,,4,3,3,4,3,3,3,3,3,2,3,3,4,4,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Complicated,Complicated,More or less agree,More or less agree,More or less agree
English (United Kingdom)‎,25-34 years old,Master's Degree,Finland,Working with GIS,Advanced,Yes,1 to 5 years,More than once a day,Application that uses OSM data,I use it for navigation/GPS;I use it for work,Hobbyist/community,To see the rendered data;To check the history of edits and comments;Add and edit Notes,More than once a day,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,I can't remember or I don't use it,"Google Maps;Trailmap, Komoot, and Maastokartat (mobile app for using official topographic maps of Finland with GNSS)",PDF;GeoJSON / JSON / XML;JPG / PNG,Directly in OSM.org;Overpass Turbo,4,4,4,5,4,5,,,,2,,,3,4,,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Clear,Neutral - Neither confusing nor clear,Simple,Complicated,Complicated,Neutral - Neither complicated nor simple,More or less agree,More or less agree,More or less agree
English (United Kingdom)‎,25-34 years old,Master's Degree,Spain,I have no experience with GIS or work,Advanced,Yes,1 to 5 years,1 time per day,Web Search,I use it for navigation/GPS;To get info of new places,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,1 time a week,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Organic Maps;OSMAnd,,,4,2,3,4,3,4,4,,4,3,,,,,,Imprecise,Confusing,,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,,Complicated,,Strongly agree,More or less agree,More or less agree
English (United Kingdom)‎,25-34 years old,Master's Degree,Moldova,Working with GIS,Advanced,No,1 to 5 years,1 time a month ,Application that uses OSM data,I use it for work,Hobbyist/community,To see the rendered data,More than once a day,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a month,Google Maps;Waze,.OSM / .PBF,GeoFabrik,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Simple,Neutral - Neither complicated nor simple,More or less agree,More or less agree,More or less agree
English (United Kingdom)‎,25-34 years old,Master's Degree,Spain,I have little or no experience with GIS,Intermediary,No,1 to 5 years,1 time a month ,Web Search,Knowledge,Hobbyist/community,To edit,More than once a day,Collaborative map,1 time a month,I can't remember or I don't use it,Yes,I can't remember or I don't use it,Google Maps,Shapefile,APIs and/or Plugins,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,Neutral - Neither imprecise nor precise,Confusing,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Complicated,Neutral - Neither complicated nor simple,Complicated,More or less disagree,Neither agree nor disagree,Neither agree nor disagree
English (United Kingdom)‎,18-24 years old,High School,Indonesia,I am a GIS student,Intermediary,Yes,5 to 10 years,2 times per week,Through a friend or family member,I use it for navigation/GPS;I use it academically (school or college),Hobbyist/community,To see the rendered data;To edit;Add and edit Notes,1 time a month,Wikipedia of maps,1 time a week,1 time a month,No,,Google Maps,,,4,4,5,5,5,5,3,3,4,1,3,3,2,5,2,Neutral - Neither imprecise nor precise,Confusing,Neutral - Neither confusing nor clear,Clear,Very Simple,Simple,Complicated,Complicated,More or less disagree,More or less disagree,Strongly agree
"Español (España, alfabetización internacional)",65 years old or older,Undergraduate or Bachelor's degree,Spain,I have no experience with GIS or work,Basic,Yes,5 to 10 years,More than once a day,Web Search,I use it for navigation/GPS,Hobbyist/community,To upload GPS traces;To edit;To see the rendered data,2 times per week,Collaborative map,1 time a week,1 time a month,No,,Magic Earth;Organic Maps,,,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Clear,Clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Simple,Simple,Strongly agree,Strongly agree,More or less agree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,Brazil,I have no experience with GIS or work,Basic,No,5 to 10 years,1 time a month ,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To upload GPS traces;To edit,More than once a day,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Waze;Maps.me,,,4,4,5,5,5,4,4,4,4,3,4,4,4,4,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Complicated,Very complicated,Complicated,Neutral - Neither complicated nor simple,More or less agree,Neither agree nor disagree,More or less agree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Poland,I have little or no experience with GIS,Advanced,Yes,1 to 5 years,2 times per week,"News (Jornal, Blog etc.)",I use it for navigation/GPS,Dev;Hobbyist/community,To edit;To check the history of edits and comments;To see the rendered data,1 time a month,Collaborative map,1 time a month,1 time a month,No,,Google Maps;OSMAnd,,,3,1,3,5,3,1,2,3,1,2,2,3,3,2,1,Very imprecise,Confusing,Neutral - Neither confusing nor clear,Very confusing,Complicated,Complicated,Very Complicated,Complicated,Strongly agree,Strongly agree,More or less agree
English (United Kingdom)‎,45-54 years old,High School,Serbia,I have little or no experience with GIS,Basic,Yes,More than 10 years,More than once a day,Application that uses OSM data,I use it for work,Corporate (work);Hobbyist/community;Humanitarian,To edit;To see the rendered data;Add and edit Notes,More than once a day,Geographic database,More than once a day,More than once a day,No,,OSMAnd;Google Maps;Magic Earth;Maps.me,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,More or less agree,Strongly agree,Strongly agree
English (United Kingdom)‎,35-44 years old,High School,Spain,I have little or no experience with GIS,Intermediary,Yes,More than 10 years,1 time a week,I don't remember,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;Read diary entries;Add and edit Notes,1 time a month,Geographic database,1 time a month,1 time a week,No,,OSMAnd,,,4,3,2,5,5,5,5,5,5,3,,,,5,,Imprecise,Neutral - Neither confusing nor clear,Confusing,Confusing,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Simple,Strongly agree,More or less disagree,Neither agree nor disagree
Português (Brasil)‎,45-54 years old,Doctorate/PhD,Brazil,I have little or no experience with GIS,Intermediary,No,Less than 1 year,1 time a month ,Web Search,I use it for navigation/GPS,Hobbyist/community,Read diary entries,1 time a week,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Waze;Google Maps,,,5,4,5,5,4,5,4,4,5,4,5,4,4,5,5,Precise,Clear,Clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,More or less agree
Français (France),18-24 years old,Undergraduate or Bachelor's degree,France,I am a GIS student,Advanced,Yes,1 to 5 years,2 times per week,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To check the history of edits and comments;To see the rendered data;To edit,1 time a week,Wikipedia of maps,I can't remember or I don't use it,1 time a month,No,,Magic Earth;Waze;OSMAnd,,,,,,,,,,,,,,,,,,,Clear,Neutral - Neither confusing nor clear,Confusing,,,,,Strongly agree,More or less agree,Neither agree nor disagree
Português (Brasil)‎,35-44 years old,Undergraduate or Bachelor's degree,Brazil,I have no experience with GIS or work,Advanced,No,1 to 5 years,1 time a month ,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit,2 times per week,Geographic database,1 time a month,I can't remember or I don't use it,No,,Waze;Fitotrack,,,4,,4,4,4,4,,,4,4,,,,,,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Complicated,Complicated,,More or less disagree,More or less agree
Deutsch,25-34 years old,Undergraduate or Bachelor's degree,Germany,I have little or no experience with GIS,Intermediary,Yes,More than 10 years,More than once a day,Web Search,I use it for navigation/GPS;I use it for work,Humanitarian;Hobbyist/community,To check the history of edits and comments;To upload GPS traces;Add and edit Notes,1 time per day,Geographic database,1 time a week,1 time per day,No,,Magic Earth;OSMAnd,,,5,4,4,5,4,3,3,,4,4,3,2,,4,,Neutral - Neither imprecise nor precise,Confusing,Neutral - Neither confusing nor clear,,Complicated,Neutral - Neither complicated nor simple,,,Strongly agree,Strongly agree,Neither agree nor disagree
